ID_Venda,Data_Venda,Produto,Categoria,Preco,Quantidade,Canal_Venda,Regiao,Tipo_Cliente,Desconto,Avaliacao_Cliente,Tempo_Entrega_Dias,Forma_Pagamento,Campanha_Marketing,Custo_Frete,Venda_Sucesso
1,14/01/2025,Cabernet Sauvignon,Tinto,199,1,Marketplace,Centro-Oeste,Recorrente,0,4,1,Cartao de Credito,Nao,35.0,Sim
2,19/02/2025,Sauvignon Blanc,Branco,138,5,Loja Fisica,Nordeste,Recorrente,5,2,11,Cartao de Credito,Sim,52.49,Sim
3,24/01/2025,Espumante Brut,Espumante,141,3,WhatsApp,Sudeste,Recorrente,20,4,8,Pix,Nao,11.88,Sim
4,22/11/2025,Cabernet Sauvignon,Tinto,216,2,Site,Nordeste,Novo,5,4,6,Pix,Sim,29.33,Sim
5,03/02/2025,Vinho Branco Chardonnay,Branco,110,6,Marketplace,Sudeste,Novo,15,1,8,Boleto,Sim,25.49,Nao
6,05/07/2025,Merlot Selecionado,Tinto,169,6,Marketplace,Sul,Novo,15,4,6,Pix,Nao,31.15,Nao
7,17/03/2026,Prosecco Italiano,Espumante,199,1,Marketplace,Nordeste,Novo,0,3,12,Pix,Nao,43.34,Nao
8,02/04/2025,Cabernet Sauvignon,Tinto,149,2,Marketplace,Sul,Novo,10,5,8,Cartao de Credito,Nao,12.97,Sim
9,05/07/2025,Espumante Brut,Espumante,144,1,Site,Sul,Recorrente,25,5,5,Pix,Sim,14.01,Sim
10,26/03/2025,Espumante Brut,Espumante,121,3,Loja Fisica,Nordeste,Recorrente,30,4,2,Pix,Nao,47.93,Nao
11,02/02/2025,Sauvignon Blanc,Branco,214,4,Marketplace,Nordeste,Novo,15,3,9,Pix,Sim,37.92,Nao
12,06/01/2026,Vinho Rose Premium,Rose,145,4,Loja Fisica,Sul,Novo,5,4,3,Pix,Nao,21.49,Sim
13,01/02/2025,Prosecco Italiano,Espumante,191,2,Loja Fisica,Centro-Oeste,Novo,10,5,1,Pix,Nao,43.05,Sim
14,04/10/2025,Cabernet Sauvignon,Tinto,169,2,Site,Sudeste,Novo,25,4,8,Pix,Sim,29.2,Nao
15,10/01/2026,Vinho Rose Premium,Rose,171,1,Site,Sul,Novo,30,3,7,Pix,Sim,29.98,Sim
16,18/09/2025,Prosecco Italiano,Espumante,207,7,Site,Centro-Oeste,Recorrente,0,4,4,Boleto,Sim,39.55,Sim
17,15/04/2025,Cabernet Sauvignon,Tinto,156,1,WhatsApp,Sudeste,Recorrente,15,4,5,Pix,Nao,18.78,Sim
18,16/05/2025,Espumante Brut,Espumante,74,2,Site,Nordeste,Novo,10,5,12,Cartao de Credito,Sim,49.27,Sim
19,06/12/2025,Cabernet Sauvignon,Tinto,195,1,WhatsApp,Nordeste,Recorrente,30,4,1,Boleto,Sim,36.71,Nao
20,10/03/2026,Espumante Brut,Espumante,133,3,Loja Fisica,Centro-Oeste,Recorrente,0,4,3,Pix,Nao,36.53,Sim
21,18/03/2025,Espumante Brut,Espumante,152,1,WhatsApp,Sul,Novo,15,4,2,Cartao de Debito,Nao,23.97,Nao
22,24/03/2026,Vinho Branco Chardonnay,Branco,129,2,WhatsApp,Norte,Novo,5,4,6,Cartao de Credito,Nao,49.0,Sim
23,12/01/2026,Vinho Branco Chardonnay,Branco,164,1,WhatsApp,Sul,Novo,0,5,7,Cartao de Credito,Nao,19.36,Sim
24,23/05/2025,Cabernet Sauvignon,Tinto,161,3,Loja Fisica,Norte,Novo,20,5,2,Pix,Sim,49.51,Nao
25,02/11/2025,Espumante Brut,Espumante,92,4,WhatsApp,Sudeste,Novo,20,3,5,Cartao de Debito,Sim,31.68,Nao
26,13/01/2026,Merlot Selecionado,Tinto,59,1,WhatsApp,Sul,Novo,10,4,7,Pix,Nao,30.97,Sim
27,09/04/2025,Cabernet Sauvignon,Tinto,250,3,Marketplace,Sul,Recorrente,10,4,3,Pix,Nao,16.31,Nao
28,31/08/2025,Vinho Branco Chardonnay,Branco,115,3,Loja Fisica,Sudeste,Novo,10,4,4,Pix,Sim,19.51,Nao
29,01/09/2025,Vinho Branco Chardonnay,Branco,122,4,Marketplace,Sul,Recorrente,5,3,7,Cartao de Credito,Sim,16.51,Sim
30,06/08/2025,Prosecco Italiano,Espumante,143,1,Marketplace,Sudeste,Novo,15,1,7,Boleto,Sim,29.77,Nao
31,04/01/2026,Prosecco Italiano,Espumante,216,5,Site,Nordeste,Recorrente,30,4,11,Cartao de Debito,Nao,43.88,Sim
32,27/05/2025,Prosecco Italiano,Espumante,239,3,Loja Fisica,Sudeste,Recorrente,15,4,5,Cartao de Credito,Sim,16.06,Sim
33,27/10/2025,Cabernet Sauvignon,Tinto,187,4,Marketplace,Sul,Novo,10,4,2,Pix,Nao,26.43,Sim
34,20/05/2025,Sauvignon Blanc,Branco,59,2,Site,Norte,Recorrente,10,5,7,Cartao de Debito,Nao,50.76,Sim
35,08/08/2025,Merlot Selecionado,Tinto,126,4,WhatsApp,Norte,Recorrente,10,5,5,Pix,Sim,35.51,Sim
36,27/01/2025,Vinho Tinto Reserva,Tinto,227,2,Site,Norte,Novo,25,4,8,Pix,Nao,55.11,Sim
37,25/12/2025,Cabernet Sauvignon,Tinto,180,4,WhatsApp,Sul,Novo,0,2,6,Pix,Sim,10.6,Sim
38,02/03/2026,Cabernet Sauvignon,Tinto,173,2,Site,Norte,Recorrente,25,3,10,Cartao de Credito,Nao,43.29,Sim
39,26/02/2026,Espumante Brut,Espumante,149,1,WhatsApp,Nordeste,Novo,10,3,4,Cartao de Credito,Nao,33.25,Sim
40,10/01/2026,Merlot Selecionado,Tinto,112,4,Site,Nordeste,Recorrente,5,5,4,Pix,Sim,30.69,Sim
